# klend-indexer demo result (B) — full slot-ordered history of obligation
# pubkey = BYojGuT56e2TUb8PQwRyT1wL5X5Ekv4kZH1HUQgBu6Zg  (hex 9CBAB5F9B9F21F08DA5F515653BBE3732287A45B8F18526E120E8767073C127B)
# paged in 1000-row pages with a (slot, write_version) cursor (klend_ro max_result_rows=1000), captured 2026-08-14 10:22:02
# columns: slot write_version health_factor_bps num_deposits num_borrows
437399219	2521	1277854	1	1
437399251	1943	1281890	1	1
437399256	2008	1276141	1	1
437399278	1572	1281004	1	1
437399297	1667	1276180	1	1
437399304	2135	1300070	1	1
437399308	2354	1309533	1	1
437399327	2632	1275866	1	1
437399353	2147	1288752	1	1
437399372	1771	1275351	1	1
437399382	1532	1275202	1	1
437399400	2350	1291047	1	1
437399403	1817	1291373	1	1
437399430	1213	1310257	1	1
437399435	1263	1276707	1	1
437399522	1820	1274507	1	1
437399584	2200	1289538	1	1
437399609	1657	1298976	1	1
437399619	1318	1273520	1	1
437399640	1946	1273907	1	1
437399724	2310	1273594	1	1
437399762	1363	1273877	1	1
437399774	1459	1273434	1	1
437399779	2102	1290929	1	1
437399794	1508	1277460	1	1
437399799	1324	1273723	1	1
437399824	1907	1276500	1	1
437399879	1832	1279067	1	1
437399907	1931	1276914	1	1
437399912	2241	1274071	1	1
437399914	2465	1274760	1	1
437399949	2162	1288519	1	1
437399950	2307	1279168	1	1
437399963	1447	1275729	1	1
437400038	1957	1277003	1	1
437400041	1082	1273608	1	1
437400043	2159	1279767	1	1
437400064	2929	1274836	1	1
437400083	2310	1277132	1	1
437400095	1671	1275731	1	1
437400105	1689	1277986	1	1
437400129	1160	1274314	1	1
437400195	2373	1293721	1	1
437400213	1945	1274140	1	1
437400216	2419	1283803	1	1
437400218	2165	1278303	1	1
437400242	2044	1274282	1	1
437400251	2902	1284278	1	1
437400270	2694	1274081	1	1
437400290	2102	1274009	1	1
437400301	1565	1286516	1	1
437400303	1153	1273629	1	1
437400312	2250	1297177	1	1
437400326	1927	1300897	1	1
437400328	2949	1281362	1	1
437400331	1147	1283765	1	1
437400341	2890	1278347	1	1
437400378	2204	1273735	1	1
437400388	1422	1282828	1	1
437400389	2993	1277673	1	1
437400415	1308	1279520	1	1
